Field	Type	Null	Key	Default	Extra
id	int(11)	NO		NULL	
title	varchar(255)	NO		NULL	
description	text	YES		NULL	
price	decimal(15,2)	YES		NULL	
price_negotiable	tinyint(1)	YES		0	
property_type	varchar(100)	YES		NULL	
plot_type	varchar(100)	YES		NULL	
yearly_tax_rate	decimal(10,2)	YES		NULL	
ownership_status	varchar(100)	YES		NULL	
legal_certificate_path	varchar(255)	YES		NULL	
media_path	varchar(255)	YES		NULL	
address	text	YES		NULL	
country	varchar(100)	YES		NULL	
state	varchar(100)	YES		NULL	
city	varchar(100)	YES		NULL	
neighborhood	varchar(100)	YES		NULL	
zip	varchar(20)	YES		NULL	
agreement_type	varchar(100)	YES		NULL	
super_built_up_area	decimal(10,2)	YES		NULL	
booking_amount	decimal(15,2)	YES		NULL	
property_approval	varchar(100)	YES		NULL	
maintenance_charges	decimal(10,2)	YES		NULL	
year_built	year(4)	YES		NULL	
available_from	date	YES		NULL	
property_floor_number	int(11)	YES		NULL	
extra_details	text	YES		NULL	
verification_status	varchar(50)	YES		NULL	
floors_no	int(11)	YES		NULL	
furnished_status	varchar(100)	YES		NULL	
property_status	varchar(100)	YES		NULL	
rooms	int(11)	YES		NULL	
bedrooms	int(11)	YES		NULL	
bathrooms	int(11)	YES		NULL	
security_deposit	decimal(15,2)	YES		NULL	
preferred_tenants	varchar(255)	YES		NULL	
floor_number	int(11)	YES		NULL	
carpet_area	decimal(10,2)	YES		NULL	
balconies	int(11)	YES		NULL	
bhk	int(11)	YES		NULL	
loan_available	tinyint(1)	YES		0	
construction_status	varchar(100)	YES		NULL	
parking_type	varchar(100)	YES		NULL	
environmental_clearance	tinyint(1)	YES		0	
survey_approval_docs	varchar(255)	YES		NULL	
interior_details	longtext	YES		NULL	
outdoor_details	longtext	YES		NULL	
utilities	longtext	YES		NULL	
other_features	longtext	YES		NULL	
type	varchar(20)	NO		NULL	
created_at	timestamp	NO		current_timestamp()	
updated_at	timestamp	NO		current_timestamp()	on update current_timestamp()
